Part Name,Sold in Packs of,Site,Project Ref Code,Model/Config,Price,Link
Channel Connectors,2,ServoCity,S6,545532, $3.99 ,https://www.servocity.com/channel-connector-plate-a
Pattern F Bracket,1,ServoCity,S7,585592, $2.79 ,https://www.servocity.com/flat-bracket-f
Single Pattern Bracket,1,ServoCity,S8,585468, $1.29 ,https://www.servocity.com/flat-single-channel-bracket
Motor Mount F,1,ServoCity,S9,555104, $3.99 ,https://www.servocity.com/aluminum-motor-mount-f
#6-32 x 0.75 Standoff,4,ServoCity,T3,633126, $1.79 ,https://www.servocity.com/6-32-thread-1-4-od-round-aluminum-standoffs#371=256
3 pin Micro Connectors,1,US Digital,E10,CA-MIC3-W3-NC-1, $6.80 ,https://www.usdigital.com/products/cables-connectors/cables/3-pin/CA-MIC3-W3-NC
Absolute Encoder,1,US Digital,E7,"1/8 inch, 10 Bit Analog, Sleeve Bushing (N)", $55.50 ,https://www.usdigital.com/products/encoders/absolute/rotary/shaft/MA3
Black Wire 30AWG,1,Digikey,,C2003B-50-ND, $6.32 ,https://www.digikey.com/products/en?keywords=C2003B-50-ND
Red Wire 30AWG,1,Digikey,,C2015R-50-ND, $6.14 ,https://www.digikey.com/products/en?keywords=C2015R-50-ND
White Wire 30AWG,1,Digikey,,1528-1737-ND, $4.95 ,https://www.digikey.com/products/en?keywords=1528-1737-ND
Blue Wire 30AWG,1,Digikey,,1528-1734-ND, $4.95 ,https://www.digikey.com/products/en?keywords=1528-1734-ND
Yello Wire 30AWG,1,Digikey,,1528-1735-ND, $4.95 ,https://www.digikey.com/products/en?keywords=1528-1735-ND
Green Wire 30AWG,1,Digikey,,1528-1736-ND, $4.95 ,https://www.digikey.com/products/en?keywords=1528-1736-ND
Op Amp LM 358P,1,Digikey,,296-1395-5-ND, $0.37 ,https://www.digikey.com/products/en?keywords=296-1395-5-ND
4.7k Ohm Resistor,1,Digikey,,CF14JT4K70CT-ND, $0.04 ,https://www.digikey.com/products/en?keywords=CF14JT4K70CT-ND
USB Xbox receiver,1,Amazon,,, $12.99 ,https://www.amazon.com/Generic-Wireless-Gaming-Receiver-Xbox/dp/B01JC68MHU
Xbox Controller,1,Amazon,,, $25.99 ,https://www.amazon.com/FiveStar-Wireless-Controller-Microsoft-White/dp/B01LY6P5U4
